Mesh.id,mirNA
D008258,hsa-mir-32
D008258,hsa-mir-363
D008258,hsa-mir-494
D008258,hsa-mir-542
D008258,hsa-mir-9
D008258,hsa-mir-155
D008258,hsa-mir-184
D008258,hsa-mir-206
D014846,hsa-mir-17
D014820,hsa-mir-196a
D014820,hsa-mir-145
D014820,hsa-mir-155
D014657,hsa-mir-142
D014657,hsa-mir-20a
D014657,hsa-mir-221
D014657,hsa-mir-29a
D014657,hsa-mir-34a
D014657,hsa-mir-383
D014657,hsa-mir-9
D014646,hsa-mir-15a
D014607,hsa-mir-146a
D014605,hsa-mir-146a
D014594,hsa-mir-9
D002583,hsa-mir-127
D002583,hsa-mir-16
D002583,hsa-mir-195
D002583,hsa-mir-196a
D002583,hsa-mir-218
D002583,hsa-mir-2861
D002583,hsa-mir-497
D002583,hsa-mir-124
D002583,hsa-mir-135b
D002583,hsa-mir-146a
D002583,hsa-mir-21
D002583,hsa-mir-27a
D002583,hsa-mir-502
D002583,hsa-mir-155
D002583,hsa-mir-181a
D002583,hsa-mir-139
D002583,hsa-mir-148b
D002583,hsa-mir-200b
D002583,hsa-mir-34a
D002583,hsa-mir-148a
D002583,hsa-mir-205
D002583,hsa-let-7a
D002583,hsa-mir-106b
D002583,hsa-mir-125b
D002583,hsa-mir-126
D002583,hsa-mir-145
D002583,hsa-mir-18a
D002583,hsa-mir-20a
D002583,hsa-mir-223
D002583,hsa-mir-23b
D002583,hsa-mir-29b
D002583,hsa-mir-31
D002583,hsa-mir-335
D002583,hsa-mir-361
D002583,hsa-mir-375
D002583,hsa-mir-494
D002583,hsa-mir-9
D002583,hsa-let-7
D002583,hsa-mir-101
D002583,hsa-mir-107
D002583,hsa-mir-129
D002583,hsa-mir-130a
D002583,hsa-mir-133a
D002583,hsa-mir-135a
D002583,hsa-mir-138
D002583,hsa-mir-142
D002583,hsa-mir-143
D002583,hsa-mir-150
D002583,hsa-mir-181b
D002583,hsa-mir-182
D002583,hsa-mir-187
D002583,hsa-mir-196b
D002583,hsa-mir-203
D002583,hsa-mir-211
D002583,hsa-mir-212
D002583,hsa-mir-214
D002583,hsa-mir-224
D002583,hsa-mir-25
D002583,hsa-mir-26a
D002583,hsa-mir-30b
D002583,hsa-mir-32
D002583,hsa-mir-331
D002583,hsa-mir-337
D002583,hsa-mir-33a
D002583,hsa-mir-342
D002583,hsa-mir-346
D002583,hsa-mir-362
D002583,hsa-mir-373
D002583,hsa-mir-421
D002583,hsa-mir-424
D002583,hsa-mir-429
D002583,hsa-mir-432
D002583,hsa-mir-433
D002583,hsa-mir-491
D002583,hsa-mir-506
D002583,hsa-mir-543
D002583,hsa-mir-590
D002583,hsa-mir-125a
D002583,hsa-mir-183
D002583,hsa-mir-206
D002583,hsa-mir-222
D002583,hsa-mir-520h
D002583,hsa-mir-1246
D002583,hsa-mir-132
D002583,hsa-mir-26b
D002583,hsa-mir-3156
D002583,hsa-mir-503
D002583,hsa-mir-10a
D002583,hsa-mir-141
D002583,hsa-mir-15a
D002583,hsa-mir-15b
D002583,hsa-mir-17
D002583,hsa-mir-200a
D002583,hsa-mir-20b
D002583,hsa-mir-215
D002583,hsa-mir-3653
D002583,hsa-mir-27b
D002583,hsa-mir-100
D002583,hsa-let-7b
D002583,hsa-let-7c
D001749,hsa-mir-146b
D001749,hsa-mir-34a
D001749,hsa-mir-34c
D001749,hsa-mir-101
D001749,hsa-mir-106a
D001749,hsa-mir-196a
D001749,hsa-mir-197
D001749,hsa-mir-300
D001749,hsa-mir-100
D001749,hsa-mir-125b
D001749,hsa-mir-145
D001749,hsa-mir-148a
D001749,hsa-mir-203
D001749,hsa-mir-21
D001749,hsa-mir-223
D001749,hsa-mir-3658
D001749,hsa-mir-489
D001749,hsa-mir-576
D001749,hsa-mir-892b
D001749,hsa-let-7
D001749,hsa-mir-1
D001749,hsa-mir-130b
D001749,hsa-mir-135a
D001749,hsa-mir-138
D001749,hsa-mir-139
D001749,hsa-mir-199
D001749,hsa-mir-199a
D001749,hsa-mir-218
D001749,hsa-mir-24
D001749,hsa-mir-294
D001749,hsa-mir-29c
D001749,hsa-mir-451
D001749,hsa-mir-495
D001749,hsa-mir-143
D001749,hsa-mir-221
D001749,hsa-let-7i
D001749,hsa-let-7c
D001749,hsa-mir-146a
D001749,hsa-mir-182
D001749,hsa-mir-193a
