miRNA,Target Gene (Entrez Gene ID)
hsa-m+a2,3091
hsa-mir-146a,7852
hsa-mir-122,1581
hsa-mir-222,6776
hsa-mir-21,10125
hsa-mir-148a,1786
hsa-mir-9,4322
hsa-mir-9,5978
hsa-mir-9,999
hsa-mir-7,6622
hsa-mir-661,9112
hsa-mir-659,2896
hsa-mir-548d,2064
hsa-mir-532,864
hsa-mir-504,1812
hsa-mir-485,4916
hsa-mir-451a,4282
hsa-mir-429,9839
hsa-mir-375,1678
hsa-mir-375,136319
hsa-mir-375,5163
hsa-mir-373,5887
hsa-mir-372,7465
hsa-mir-372,7227
hsa-mir-372,10150
hsa-mir-372,51621
hsa-mir-34b,596
hsa-mir-34b,1385
hsa-mir-34a,330
hsa-mir-34a,2917
hsa-mir-34a,182
hsa-mir-346,30008
hsa-mir-31,387
hsa-mir-302d,7227
hsa-mir-302d,10150
hsa-mir-302d,51621
hsa-mir-29b,7043
hsa-mir-29b,9759
hsa-mir-29b,56998
hsa-mir-29b,50509
hsa-mir-29b,1284
hsa-mir-29b,1277
hsa-mir-298,23621
hsa-mir-27a,861
hsa-mir-26a,8091
hsa-mir-26a,3159
hsa-mir-26a,9134
hsa-mir-26a,894
hsa-mir-24,2237
hsa-mir-24,1019
hsa-mir-24,890
hsa-mir-24,9212
hsa-mir-24,4609
hsa-mir-24,1870
hsa-mir-223,4208
hsa-mir-223,3925
hsa-mir-223,4005
hsa-mir-222,1027
hsa-mir-222,10018
hsa-mir-222,6648
hsa-mir-222,4312
hsa-mir-221,1027
hsa-mir-221,10018
hsa-mir-221,90427
hsa-mir-217,23411
hsa-mir-214,2146
hsa-mir-210,3205
hsa-mir-210,9537
hsa-mir-210,5292
hsa-mir-210,3198
hsa-mir-210,53834
hsa-mir-210,5893
hsa-mir-21,993
hsa-mir-21,596
hsa-mir-21,84305
hsa-mir-21,7466
hsa-mir-21,56889
hsa-mir-21,57142
hsa-mir-21,6201
hsa-mir-21,8985
hsa-mir-21,5161
hsa-mir-21,64151
hsa-mir-21,79139
hsa-mir-21,10409
hsa-mir-21,182
hsa-mir-21,5978
hsa-mir-20a,9338
hsa-mir-20a,595
hsa-mir-20a,1869
hsa-mir-20a,659
hsa-mir-206,4233
hsa-mir-204,4211
hsa-mir-204,3206
hsa-mir-204,596
hsa-mir-200c,10381
hsa-mir-200c,648
hsa-mir-200b,5782
hsa-mir-200a,1749
hsa-mir-199b,3280
hsa-mir-197,10099
hsa-mir-197,90
hsa-mir-196a,6702
hsa-mir-196a,6280
hsa-mir-196a,3852
hsa-mir-195,7465
hsa-mir-195,1871
hsa-mir-195,1021
hsa-mir-195,595
hsa-mir-18a,3845
hsa-mir-181c,51701
hsa-mir-181c,2627
hsa-mir-181c,1045
hsa-mir-181b,51701
hsa-mir-181b,2627
hsa-mir-181b,1045
hsa-mir-181a,51701
hsa-mir-181a,2627
hsa-mir-181a,1045
hsa-mir-17,57169
hsa-mir-17,6346
hsa-mir-17,7107
hsa-mir-17,64859
hsa-mir-17,4863
hsa-mir-17,7525
hsa-mir-16,648
hsa-mir-16,983
hsa-mir-16,3159
hsa-mir-15b,898
hsa-mir-15a,648
hsa-mir-15a,89780
hsa-mir-15a,4602
hsa-mir-15a,993
hsa-mir-15a,894
hsa-mir-155,4211
hsa-mir-155,23118
hsa-mir-153,596
hsa-mir-152,3135
hsa-mir-148b,3135
hsa-mir-148a,3135
hsa-mir-148a,60436
hsa-mir-146a,3075
hsa-mir-146a,3656
hsa-mir-145,664
hsa-mir-145,688
hsa-mir-145,6657
hsa-mir-145,9314
hsa-mir-143,3845
hsa-mir-141,9839
hsa-mir-141,6935
hsa-mir-141,1749
hsa-mir-133a,998
hsa-mir-133a,10021
hsa-mir-133a,7351
hsa-mir-133a,3855
hsa-mir-132,23411
hsa-mir-130b,94241
hsa-mir-128,4916
hsa-mir-126,161742
hsa-mir-126,10769
hsa-mir-125b,658
hsa-mir-125b,1978
hsa-mir-125b,8091
hsa-mir-125b,3159
hsa-mir-125b,2735
hsa-mir-124,6662
hsa-mir-124,627
hsa-mir-122,3480
hsa-mir-122,6722
hsa-mir-107,5324
hsa-mir-106b,83737
hsa-mir-106b,351
hsa-mir-106a,1869
hsa-mir-101,4613
hsa-mir-101,6310
hsa-mir-101,2146
hsa-mir-100,5347
hsa-mir-1,50804
hsa-mir-1,1025
hsa-mir-1,1050
hsa-mir-1,4205
hsa-mir-1,2626
hsa-let-7g,3845
hsa-let-7c,993
hsa-let-7a,1021
hsa-let-7a,4609
hsa-let-7a,596
hsa-mir-184,208
hsa-mir-145,4582
hsa-mir-101,351
hsa-mir-222,2309
hsa-mir-221,2309
hsa-mir-802,4204
hsa-mir-155,4204
hsa-mir-29b,6667
hsa-mir-650,51147
hsa-mir-146a,7097
hsa-mir-224,5655
hsa-let-7f,5655
hsa-mir-155,8651
hsa-mir-145,4646
hsa-mir-143,4646
hsa-mir-155,2956
hsa-mir-155,4436
hsa-mir-155,4292
hsa-mir-125b,28511
hsa-let-7a,28511
hsa-mir-422a,1582
hsa-mir-422a,1581
hsa-let-7g,1278
hsa-mir-1296,4171
hsa-let-7g,4609
hsa-mir-124,1947
hsa-mir-193b,595
hsa-mir-217,6091
hsa-mir-17,3716
hsa-mir-31,5520
hsa-mir-31,26524
hsa-mir-138,50650
hsa-mir-138,9475
hsa-mir-138,389
hsa-mir-519c,3091
hsa-mir-20b,6774
hsa-mir-20b,3091
hsa-mir-17,5728
hsa-mir-451a,51719
hsa-mir-125b,6608
hsa-mir-217,5728
hsa-mir-216a,5728
hsa-mir-125b,7157
hsa-mir-16,92
hsa-mir-145,1026
hsa-mir-182,1026
hsa-mir-657,1026
hsa-mir-639,1026
hsa-mir-572,1026
hsa-mir-520h,1026
hsa-mir-520b,1026
hsa-mir-520a,1026
hsa-mir-519e,1026
hsa-mir-519d,1026
hsa-mir-519b,1026
hsa-mir-515,1026
hsa-mir-423,1026
hsa-mir-372,1026
hsa-mir-363,1026
hsa-mir-345,1026
hsa-mir-299,1026
hsa-mir-298,1026
hsa-mir-28,1026
hsa-mir-20b,1026
hsa-mir-20a,1026
hsa-mir-208b,1026
hsa-mir-208a,1026
hsa-mir-17,1026
hsa-mir-132,1026
hsa-mir-125a,1026
hsa-mir-106b,1026
hsa-mir-373,8434
hsa-mir-15b,8434
hsa-mir-145,6772
hsa-mir-145,7525
hsa-mir-519d,5465
hsa-mir-155,3635
hsa-mir-223,1869
hsa-mir-224,7852
hsa-mir-224,998
hsa-mir-181b,7078
hsa-mir-146a,8772
hsa-mir-9,5452
hsa-mir-9,604
hsa-mir-9,2113
hsa-mir-503,1026
hsa-mir-503,899
hsa-mir-503,7465
hsa-mir-503,9134
hsa-mir-503,898
hsa-mir-503,1111
hsa-mir-503,993
hsa-mir-503,26523
hsa-mir-503,22926
hsa-mir-503,54443
hsa-mir-503,8556
hsa-mir-424,899
hsa-mir-424,8556
hsa-mir-424,993
hsa-mir-424,1111
hsa-mir-424,9493
hsa-mir-424,22926
hsa-mir-424,7465
hsa-mir-424,54443
hsa-mir-122,5879
hsa-mir-206,4854
hsa-mir-335,3371
hsa-mir-7,5058
hsa-mir-182,2309
hsa-mir-21,10253
hsa-mir-145,865
hsa-mir-145,5530
hsa-mir-145,9685
hsa-mir-29a,1021
hsa-mir-29b,1021
hsa-let-7c,7046
hsa-mir-140,9759
hsa-mir-34a,4609
hsa-mir-424,5324
hsa-mir-181b,5324
hsa-mir-181a,5324
hsa-mir-302c,2099
hsa-mir-206,2099
hsa-mir-193b,2099
hsa-mir-18b,2099
hsa-mir-18a,2099
hsa-mir-135a,3717
hsa-let-7a,3690
hsa-mir-196a,301
hsa-mir-146a,7189
hsa-mir-146a,3654
hsa-mir-143,1788
hsa-mir-122,387
hsa-mir-330,1869
hsa-mir-222,1028
hsa-mir-34a,4602
hsa-mir-373,7422
hsa-mir-302d,7422
hsa-mir-200b,9839
hsa-mir-200b,8314
hsa-mir-200c,8487
hsa-mir-200c,8314
hsa-mir-141,8314
hsa-mir-200a,8314
hsa-mir-145,3667
hsa-mir-145,79668
hsa-mir-34c,4602
hsa-mir-34b,4602
hsa-mir-34a,8091
hsa-mir-34a,1875
hsa-mir-34a,995
hsa-mir-34c,857
