train_scores,train_kinds,test_scores,test_kinds,,
0.484354869,0,0.520271432,3,,"1-3,0-2"
0.48706439,0,0.50208479,3,,
0.515506638,1,0.51502182,3,,
0.501981287,1,0.513915963,3,,
0.509244469,1,0.512035242,3,,
0.458887583,0,0.512681877,3,,
0.492914467,0,0.511160946,3,,
0.501875241,1,0.460311845,2,,
0.509978555,1,0.460913513,2,,
0.491392171,0,0.507997163,3,,
0.473015654,0,0.512731505,3,,
0.47333418,0,0.469660939,2,,
0.467596487,0,0.464425805,2,,
0.48391467,0,0.479411303,2,,
0.469232069,0,0.454035985,2,,
0.459664152,0,0.492324908,2,,
0.460941451,0,0.47370925,2,,
0.50444392,1,0.45291989,2,,
0.468541359,0,0.462617906,2,,
0.49878151,0,0.454585466,2,,
0.45616871,0,0.478819725,2,,
0.497836309,0,0.479674215,2,,
0.49987823,0,0.472543029,2,,
0.50670541,1,0.453885177,2,,
0.514911137,1,0.515303606,3,,
0.470486755,0,0.512706731,3,,
0.462657688,0,0.509491267,3,,
0.499186618,0,0.512488077,3,,
0.486447096,0,0.513394285,3,,
0.503776523,1,0.507636809,3,,
0.463738985,0,0.448204291,2,,
0.470760485,0,0.513720864,3,,
0.511234599,1,0.509415137,3,,
0.509644359,1,0.499734195,2,,
0.505463578,1,0.471126773,2,,
0.498346161,0,0.47147491,2,,
0.514242391,1,0.454449798,2,,
0.462915551,0,0.508859083,3,,
0.516058001,1,0.508099004,3,,
0.511881018,1,0.506648386,3,,
0.50063873,1,0.503744995,3,,
0.508489617,1,0.466162206,2,,
0.444282777,0,0.500426455,3,,
0.502259872,1,0.47145881,2,,
0.46666712,0,0.508826368,3,,
0.496576431,0,0.476200371,2,,
0.513302533,1,0.487920511,2,,
0.507072616,1,0.471395804,2,,
0.474345132,0,0.509280734,3,,
0.511845393,1,0.508514512,3,,
0.461983401,0,0.507565735,3,,
0.515247741,1,0.461602205,2,,
0.500951749,1,0.481294931,2,,
0.4969672,0,0.447506914,2,,
0.506400795,1,0.513876024,3,,
0.518918629,1,0.468890218,2,,
0.479425796,0,0.514862473,3,,
0.489649934,0,0.5088452,3,,
0.466377298,0,0.502621471,3,,
0.502281994,1,0.484633051,2,,
0.456861753,0,0.492256452,2,,
0.452925576,0,0.511497298,3,,
0.500110965,1,0.508013269,3,,
0.492272505,0,0.476721558,2,,
0.495937682,0,0.511663471,3,,
0.460418888,0,0.512523842,3,,
0.477604635,0,0.473446992,2,,
0.514232149,1,0.471669848,2,,
0.507031499,1,0.458710265,2,,
0.460925882,0,0.455211785,2,,
0.486274452,0,0.506738365,3,,
0.465877689,0,0.479282232,2,,
0.461478514,0,0.522039726,3,,
0.506296502,1,0.511812017,3,,
0.505649105,1,0.457373178,2,,
0.493743354,0,0.468565225,2,,
0.512140403,1,0.464423772,2,,
0.512173231,1,0.490128908,2,,
0.505203702,1,0.502361002,3,,
0.473676872,0,0.50317332,3,,
0.514279483,1,0.512870933,3,,
0.491608163,0,0.509749277,3,,
0.45535255,0,0.487042927,2,,
0.445335588,0,0.453071632,2,,
0.454185064,0,0.503214606,3,,
0.467224561,0,0.50856195,3,,
0.495194413,0,0.508416597,3,,
0.491804756,0,0.513927828,3,,
0.504768838,1,0.507561493,3,,
0.450590364,0,0.503726521,3,,
0.508266852,1,0.509244399,3,,
0.456302098,0,0.513783684,3,,
0.501487788,1,0.47138331,2,,
0.510256024,1,0.464330282,2,,
0.460536101,0,0.501763288,3,,
0.506901082,1,0.475729427,2,,
0.505711267,1,0.49596062,2,,
0.515681088,1,0.453875949,2,,
0.45903132,0,0.472887877,2,,
0.509784638,1,0.499729695,2,,
0.492733904,0,0.471695618,2,,
0.513209133,1,0.513887867,3,,
0.456594676,0,0.478992442,2,,
0.471883747,0,0.501373169,3,,
0.503501473,1,0.496142934,2,,
0.504083419,1,0.513573632,3,,
0.478524393,0,0.508400874,3,,
0.481693671,0,0.460012877,2,,
0.504741755,1,0.450507859,2,,
0.474857788,0,0.507110373,3,,
0.504904255,1,0.479719742,2,,
0.491472652,0,0.515822663,3,,
0.497956931,0,0.456591944,2,,
0.514062495,1,0.508717434,3,,
0.500134907,1,0.511400224,3,,
0.469543931,0,0.466838805,2,,
0.51379197,1,0.46616255,2,,
0.50633936,1,0.463501668,2,,
0.457640794,0,0.473677154,2,,
0.450117465,0,0.495911304,2,,
0.49170975,0,0.459518899,2,,
0.516359346,1,0.456614396,2,,
0.509037411,1,0.502683844,3,,
