Positive Sample Scores,Sampling Category
0.515506638,1
0.501981287,1
0.509244469,1
0.501875241,1
0.509978555,1
0.50444392,1
0.50670541,1
0.514911137,1
0.503776523,1
0.511234599,1
0.509644359,1
0.505463578,1
0.514242391,1
0.516058001,1
0.511881018,1
0.50063873,1
0.508489617,1
0.502259872,1
0.513302533,1
0.507072616,1
0.511845393,1
0.515247741,1
0.500951749,1
0.506400795,1
0.518918629,1
0.502281994,1
0.500110965,1
0.514232149,1
0.507031499,1
0.506296502,1
0.505649105,1
0.512140403,1
0.512173231,1
0.505203702,1
0.514279483,1
0.504768838,1
0.508266852,1
0.501487788,1
0.510256024,1
0.506901082,1
0.505711267,1
0.515681088,1
0.509784638,1
0.513209133,1
0.503501473,1
0.504083419,1
0.504741755,1
0.504904255,1
0.514062495,1
0.500134907,1
0.51379197,1
0.50633936,1
0.516359346,1
0.509037411,1
0.503602488,1
0.500347697,1
0.505629385,1
0.508817526,1
0.517827999,1
0.510231464,1
0.509299902,1
0.503020676,1
0.512575188,1
0.515181342,1
0.503826833,1
0.502521546,1
0.509103886,1
0.508627851,1
0.517248216,1
0.514495235,1
0.507594718,1
0.514024425,1
0.501831847,1
0.508545685,1
0.51526193,1
0.517418568,1
0.517682098,1
0.508364762,1
0.506823894,1
0.513673063,1
0.510431646,1
0.503335158,1
0.511889401,1
0.511808164,1
0.506448605,1
0.503092073,1
0.514395216,1
0.503565807,1
0.506774175,1
0.513511547,1
0.508539954,1
0.504878495,1
0.512453174,1
0.508532629,1
0.515880065,1
0.515750402,1
0.513089563,1
0.507758182,1
0.513487712,1
0.514382696,1
0.504845228,1
0.502714246,1
0.503855809,1
0.512130816,1
0.502647975,1
0.510158162,1
0.505448777,1
0.502427853,1
0.508873831,1
0.511218314,1
0.503706805,1
0.516449541,1
0.50664061,1
0.506572026,1
0.511903748,1
0.502260135,1
0.503609135,1
0.508149593,1
0.506987505,1
0.500415117,1
0.50044128,1
0.503471474,1
0.507205006,1
0.516336186,1
0.515119624,1
0.50634414,1
0.50468836,1
0.511482648,1
0.508011687,1
0.50728109,1
0.508138926,1
0.510483014,1
0.506442271,1
0.503483944,1
0.508270566,1
0.509269528,1
0.502608181,1
0.506630271,1
0.511417845,1
0.500172125,1
0.500976831,1
0.508199897,1
0.50503133,1
0.502130555,1
0.515665718,1
0.507921777,1
0.515228351,1
0.514490406,1
0.503662337,1
0.512358382,1
0.506146133,1
0.511995338,1
0.500587057,1
0.505861009,1
0.511251785,1
0.513071768,1
0.511946069,1
0.51209469,1
0.511253007,1
0.50844397,1
0.513471611,1
0.510907322,1
0.513175299,1
0.511921885,1
0.507442653,1
0.507336736,1
0.51753749,1
0.514179245,1
0.504422365,1
0.508506789,1
0.500277155,1
0.514859613,1
0.501965047,1
0.515538692,1
0.515845914,1
0.512166505,1
0.502140552,1
0.505954658,1
0.500868619,1
0.502104378,1
0.509571381,1
0.505753274,1
0.506473411,1
0.510316621,1
0.502329268,1
0.515385369,1
0.507860862,1
0.519803038,1
0.506833275,1
0.508377403,1
0.505812501,1
0.503773288,1
0.504688245,1
0.511142622,1
0.507137818,1
0.504277471,1
0.508257812,1
0.516298209,1
0.510893006,1
0.511115233,1
0.505966042,1
0.513946909,1
0.511577258,1
0.506764295,1
0.513058217,1
0.507162315,1
0.504818758,1
0.504366362,1
0.502725193,1
0.508259501,1
0.512312166,1
0.504514285,1
0.507716495,1
0.50517682,1
0.506076131,1
0.501827922,1
0.506597277,1
0.500027792,1
0.502711886,1
0.516329511,1
0.508988926,1
0.503202201,1
0.51253166,1
0.516557963,1
0.501622394,1
0.507468152,1
0.515796416,1
0.507720611,1
0.510812152,1
0.517025445,1
0.509395686,1
0.509329475,1
0.511645793,1
0.509083048,1
0.505280259,1
0.503685196,1
0.507197295,1
0.513296027,1
0.505972186,1
0.514149056,1
0.508292612,1
0.506661381,1
0.515510432,1
0.502855921,1
0.503253882,1
0.505193646,1
0.510367039,1
0.508349591,1
0.508745778,1
0.511963968,1
0.513997749,1
0.512194381,1
0.5117062,1
0.505074708,1
0.509708037,1
0.516253409,1
0.511594454,1
0.509892169,1
0.516142233,1
0.501833687,1
0.504294737,1
0.504538058,1
0.514852949,1
0.511597734,1
0.501365172,1
0.51182825,1
0.512231779,1
0.501363842,1
0.511003626,1
0.507961874,1
0.502433653,1
0.502453218,1
0.506069739,1
0.512837048,1
0.507404909,1
0.51501996,1
0.511391623,1
0.514278452,1
0.503941043,1
0.515602755,1
0.507286347,1
0.503977396,1
0.505900966,1
0.508087557,1
0.507757822,1
0.510568683,1
0.503689756,1
0.511205916,1
0.501375034,1
0.509181805,1
0.514197205,1
0.506141516,1
0.51462478,1
0.518271046,1
0.501446331,1
0.510680018,1
0.51270799,1
0.517058177,1
0.513080962,1
0.507284864,1
0.500587515,1
0.509601809,1
0.507505631,1
0.503879265,1
0.503525099,1
0.501470938,1
0.503042452,1
0.504053161,1
0.509448927,1
0.504261597,1
0.503111637,1
0.502854784,1
0.505145991,1
0.510849349,1
0.507909493,1
0.511772214,1
0.510189911,1
0.512550466,1
0.501302542,1
0.515241274,1
0.515995203,1
0.507772644,1
0.516372792,1
0.503908345,1
0.510973613,1
0.504574877,1
0.516833695,1
0.51171554,1
0.51604399,1
0.508077315,1
0.506883505,1
0.500779802,1
0.503912328,1
0.504176473,1
0.502195218,1
0.510627871,1
0.503224553,1
0.500364195,1
0.514506305,1
0.511446287,1
0.518409974,1
0.515556128,1
0.501063898,1
0.501279712,1
0.504946929,1
0.510377492,1
0.511381801,1
0.502193533,1
0.511235971,1
0.501920088,1
0.505956773,1
0.510561002,1
0.514059185,1
0.506278972,1
0.500877939,1
0.505117191,1
0.500246817,1
0.502697241,1
0.510941575,1
0.509523788,1
0.511353518,1
0.512802648,1
0.500880562,1
0.516964965,1
0.501825702,1
0.515839478,1
0.502183646,1
0.502894905,1
0.515311686,1
0.514436631,1
0.508332254,1
0.505227697,1
0.507069719,1
0.508684064,1
0.500650252,1
0.510925021,1
0.50956493,1
0.502331546,1
0.501519035,1
0.507425931,1
0.512625918,1
0.520182321,1
0.505704862,1
0.506092838,1
0.502054173,1
0.505904351,1
0.503454218,1
0.515302425,1
0.504840049,1
0.503973701,1
0.503261546,1
0.502769947,1
0.510692829,1
0.5062625,1
0.506778532,1
0.508061276,1
0.500197107,1
0.510197218,1
0.512692013,1
0.510238209,1
0.503811079,1
0.515376994,1
0.514295163,1
0.501372347,1
0.512753995,1
0.516324833,1
0.513515467,1
0.506771643,1
0.512832466,1
0.509985455,1
0.502572412,1
0.51614741,1
0.504871516,1
0.51458931,1
0.512651754,1
0.501363579,1
0.509461078,1
0.50795971,1
0.506440489,1
0.511588247,1
0.518343077,1
0.507958728,1
0.50882757,1
0.503582884,1
0.508957936,1
0.516154291,1
0.514460843,1
0.513525804,1
0.510367846,1
0.51257602,1
0.507279243,1
0.506307015,1
0.508093213,1
0.503975499,1
